idealo Connect,idealo Connect
Settings,Configuración
"Directory ""%s"" does not exist. Installation of idealo Connect incomplete?","El directorio ""%s"" no existe. ¿Se ha completado la instalación de idealo Connect?"
Re-Generation necessary,Es necesario generar de nuevo el archivo
"File <a href=""%s"" target=""_blank"">%s</a> was generated successfully","El archivo <a href=""%s"" target=""_blank"">%s</a> se ha generado correctamente."
idealo Connect - Manage Attributes,idealo Connect – Configuración de atributos
Manage Attributes,Configurar atributos
Feed Attributes,Atributos idealo
Create new attribute,Crear un atributo nuevo
Use existing attribute,Utilizar un atributo existente
Manufacturer,Fabricante
Manufacturer SKU,Número de referencia del fabricante
Delivery Time,Plazo de entrega
Delivery Times,Plazos de entrega
Delivery Time (out of stock),Plazo de entrega (sin stock)
Add,Añadir
Shipping Cost,Gastos de envío
Shipping Cost idealo.de,Gastos de envío idealo.de
Shipping Cost idealo.at,Gastos de envío idealo.at
Shipping Cost idealo.co.uk,Gastos de envío idealo.co.uk
Shipping Cost idealo.fr,Gastos de envío idealo.fr
Shipping Cost idealo.it,Gastos de envío idealo.it
Shipping Cost idealo.es,Gastos de envío idealo.es
Shipping Cost idealo.pl,Gastos de envío idealo.pl
Shipping Cost idealo.in,Gastos de envío idealo.in
Shipping Cost based on Price,Gastos de envío basados en el precio
Shipping Cost based on Weight,Gastos de envío basados en el peso
Shipping Comment,Comentario sobre el envío
Shipping Comments,Comentarios sobre el envío
Comment on shipping of article or methods of payment offered,Comentario sobre el envío del artículo o los métodos de pago ofrecidos
OEN,OEM
"Original replacement part number consisting of manufacturer's initials and identifier code, separated by a comma","Código del repuesto original, compuesto por las iniciales del fabricante y su código de identificación, separado por una coma."
KBA,KBA (solo en Alemania)
"Kraftfahrt-Bundesamt (KBA) number, i.e. German Federal Motor Transport Authority number, consisting of the 4 digits in the Manufacturer Key Number and the first 3 characters in the Type Key Number","El código de Kraftfahrt-Bundesamt (KBA), es decir, la Agencia Federal del Transporte Motorizado de Alemania."
EAN,EAN
"EAN/GTIN of the offer, improves allocation to product catalogue. ISBN numbers can also be given here",El código EAN/GTIN (código de barras) mejora el reconocimiento de las ofertas en el catálogo de productos. También se puede incluir aquí el ISBN
HAN,HAN
"Article number defined by manufacturer, improves allocation to product catalogue",Código definido por el fabricante que mejora el reconocimiento de las ofertas en el catálogo de productos.
PZN,PZN (solo en Alemania)
Central Pharmaceutical Number of offer (only for medical offers),Pharmazeutische Zentralnummer (solo para medicamentos)
Is Used,Usado
"Marks offers that are not new (e.g. returns, demonstration model, opened packaging, etc.)","Para artículos que no sean completamente nuevos con su embalaje original (por ejemplo, artículos devueltos, de exposición, con embalaje abierto, etc.)"
Is Rebuild,Réplica
"Marks offers that are a replica of products by another manufacturer. This mark-up is necessary if the original product comes up in the offer title (e.g. ""Quality battery compatible with Canon HK-2222"")","Para artículos que sean una réplica de otro fabricante. Indispensable cuando el nombre del artículo original aparezca en el título de la oferta (por ejemplo, “Batería compatible con Canon HK-2222”)."
Has Contract,Con contrato
Marks offers that can only be acquired through signing a contract (e.g. mobile phones),Para artículos que se deben adquirir a través de un contrato (por ejemplo teléfonos móviles)
Voucher Code,Código de descuento
Voucher code plus description. Please be sure to stick to the format of the example! i.e. CODE (description),Código de descuento y descripción del mismo. Se debe utilizar el formato siguiente: CÓDIGO (Descripción)
Merchant,Vendedor
Merchant name (for resellers or marketplace merchants),Nombre del vendedor (por ejemplo en el caso de market places)
The attributes have been assigned.,Atributos asignados
The attributes have been assigned. Please choose the default settings now.,Se han asignado los atributos. Elija ahora la configuración estándar.
