idealo Connect,idealo Connect
Settings,Impostazioni
"Directory ""%s"" does not exist. Installation of idealo Connect incomplete?","La directory ""%s"" non esiste. L'installazione di idealo Connect è stata completata?"
Re-Generation necessary,Rigenerazione necessaria
"File <a href=""%s"" target=""_blank"">%s</a> was generated successfully","Il file <a href=""%s"" target=""_blank"">%s</a> è stato generato con successo."
idealo Connect - Manage Attributes,idealo Connect – Configurazione degli attributi
Manage Attributes,Configurare gli attributi
Feed Attributes,Attributi idealo
Create new attribute,Creare un nuovo attributo
Use existing attribute,Usare attributi esistenti
Manufacturer,Produttore
Manufacturer SKU,Codice del produttore
Delivery Time,Termine di consegna
Delivery Times,Termini di consegna
Delivery Time (out of stock),Termini di consegna (articolo non disponibile)
Add,Aggiungere
Shipping Cost,Costi di spedizione
Shipping Cost idealo.de,Costi di spedizione idealo.de
Shipping Cost idealo.at,Costi di spedizione idealo.at
Shipping Cost idealo.co.uk,Costi di spedizione idealo.co.uk
Shipping Cost idealo.fr,Costi di spedizione idealo.fr
Shipping Cost idealo.it,Costi di spedizione idealo.it
Shipping Cost idealo.es,Costi di spedizione idealo.es
Shipping Cost idealo.pl,Costi di spedizione idealo.pl
Shipping Cost idealo.in,Costi di spedizione idealo.in
Shipping Cost based on Price,Costi di spedizione basati sul prezzo
Shipping Cost based on Weight,Costi di spedizione basati sul peso
Shipping Comment,Commento sulla spedizione
Shipping Comments,Commenti sulla spedizione
Comment on shipping of article or methods of payment offered,Commento sulla spedizione dell'articolo o metodi di pagamento offerti
OEN,OEM
"Original replacement part number consisting of manufacturer's initials and identifier code, separated by a comma","Codice del pezzo di ricambio originale, composto dalle iniziali del fabbricante ed il suo codice di identificazione, separati da una virgola"
KBA,KBA (solo in Germania)
